CGM2_Tchernyshyov22_obs
Wilde et al. 2021 https://arxiv.org/pdf/2008.08092.pdf

QSOName,Galaxy_ra,Galaxy_dec,z,r,log Mstar,SF/E,Rvir,log O VI:cdens,log O VI:eb
J1437+5045,219.3589,+50.7687,0.1436,29,9.3,SF,110,14.53,nan
J1437+5045,219.3253,+50.7664,0.2344,294,8.6,SF,84,14.0,<
J1437+5045,219.3494,+50.7707,0.3069,134,9.1,SF,102,13.89,<
J1437+5045,219.3643,+50.7638,0.3449,69,8.6,SF,85,13.96,<
J1437+5045,219.3624,+50.7609,0.3564,95,9.4,SF,111,14.29,nan
J1437+5045,219.3826,+50.7687,0.3688,291,9.3,SF,104,13.82,<
J1437+5045,219.3638,+50.7646,0.3746,62,8.8,SF,89,14.05,nan
J1437+5045,219.3594,+50.7499,0.4516,334,9.3,SF,105,13.87,<
J1437+5045,219.3339,+50.7650,0.5668,383,9.6,SF,113,14.0,<
J1437+5045,219.3489,+50.7601,0.5703,201,10.5,SF,165,14.66,nan
J1553+3548,238.2571,+35.8251,0.151,199,9.6,SF,122,13.66,<
J1553+3548,238.2267,+35.8140,0.1586,367,7.8,SF,65,13.61,<
J1553+3548,238.2287,+35.8133,0.1639,359,9.2,SF,106,13.61,<
J1553+3548,238.2864,+35.7949,0.1705,198,8.6,SF,85,13.77,<
J1553+3548,238.2945,+35.8095,0.181,221,8.4,SF,80,13.78,<
J1553+3548,238.2408,+35.8211,0.1918,326,10.9,E,331,13.62,<
J1553+3548,238.2798,+35.8070,0.2171,99,10.8,SF,291,14.44,nan
J1553+3548,238.2686,+35.7892,0.3594,350,9.2,SF,101,13.63,<
J1553+3548,238.2761,+35.7935,0.3682,286,9.2,SF,104,13.6,<
J1553+3548,238.2595,+35.7933,0.3931,339,8.8,SF,89,13.57,<
J1555+3628,238.7966,+36.4795,0.1572,229,8.6,SF,86,13.79,<
J1555+3628,238.7744,+36.4878,0.2349,128,8.8,SF,91,13.78,<
J1555+3628,238.7745,+36.4853,0.3643,136,9.8,SF,128,14.06,nan
J1555+3628,238.7492,+36.4826,0.4632,339,10.9,SF,315,13.7,<
