MAGG_Galbiati23_obs
Galbiati et al. 2023 https://arxiv.org/pdf/2302.00021.pdf

z,r,Rvir,log C IV:cdens,log C IV:eb,log Si IV:cdens,log Si IV:eb
3,50.26110505155796,51.34961554,12.472416525630411,<,nan,nan
3,67.38172027565753,51.34961554,12.359342320683414,<,nan,nan
3,68.66819738132365,51.34961554,12.08372394612511,<,nan,nan
3,68.9936362884916,51.34961554,11.857575536231117,<,nan,nan
3,74.41547262094322,51.34961554,12.832840553898961,<,nan,nan
3,74.76814956616224,51.34961554,12.458282250012036,<,nan,nan
3,76.19565115348274,51.34961554,12.910579069800022,<,nan,nan
3,76.91959005446924,51.34961554,12.324006631637477,<,nan,nan
3,78.01841539429107,51.34961554,12.486550801248786,<,nan,nan
3,80.64377363289394,51.34961554,12.7551020379979,<,nan,nan
3,89.06190735822084,51.34961554,12.599625006195781,<,nan,nan
3,89.06190735822084,51.34961554,11.801038433757618,<,nan,nan
3,89.4839980917229,51.34961554,12.91764620760921,<,nan,nan
3,90.3341902779397,51.34961554,12.507752214676348,<,nan,nan
3,91.62464823877131,51.34961554,12.536020765913095,<,nan,nan
3,95.60768733914756,51.34961554,12.295738080400728,<,nan,nan
3,96.51606101993329,51.34961554,13.129660341884827,<,nan,nan
3,97.43306520697757,51.34961554,12.57842359276822,<,nan,nan
3,100.23668469739513,51.34961554,12.486550801248786,<,nan,nan
3,100.71173600746381,51.34961554,12.839907691708149,<,nan,nan
3,101.66860352388957,51.34961554,12.203865288881294,<,nan,nan
3,104.59409989206398,51.34961554,12.78337058923465,<,nan,nan
3,105.08980228215381,51.34961554,12.670296384287655,<,nan,nan
3,107.60377690896902,51.34961554,nan,<,nan,nan
3,108.11374304904322,51.34961554,12.564289317149845,<,nan,nan
3,108.11374304904322,51.34961554,12.154395324216983,<,nan,nan
3,112.54720190780073,51.34961554,nan,<,nan,nan
3,115.51232804666067,51.34961554,12.52188649029472,<,nan,nan
3,118.8361751780956,51.34961554,12.65616210866928,<,nan,nan
3,118.8361751780956,51.34961554,12.479483663439598,<,nan,nan
3,121.67899267948742,51.34961554,12.620826419623343,<,nan,nan
3,127.57027350996653,51.34961554,12.408812285347725,<,nan,nan
3,127.57027350996653,51.34961554,11.82223984718518,<,nan,nan
3,128.78232540801136,51.34961554,12.472416525630411,<,nan,nan
3,129.39266295641963,51.34961554,12.620826419623343,<,nan,nan
3,133.11591430862748,51.34961554,12.790437727043837,<,nan,nan
3,133.11591430862748,51.34961554,12.225066702308856,<,nan,nan
3,134.38065563243708,51.34961554,12.281603804782353,<,nan,nan
3,136.30033395477656,51.34961554,12.564289317149845,<,nan,nan
3,136.30033395477656,51.34961554,11.808105571566806,<,nan,nan
3,137.5953306176247,51.34961554,12.486550801248786,<,nan,nan
3,139.5609317839434,51.34961554,12.45121511220285,<,nan,nan
3,141.55461230388312,51.34961554,12.564289317149845,<,nan,nan
3,142.22548149937023,51.34961554,12.677363522096842,<,nan,nan
3,142.22548149937023,51.34961554,12.366409458492601,<,nan,nan
3,147.01143924673758,51.34961554,12.415879423156913,<,nan,nan
3,148.4082026859834,51.34961554,12.486550801248786,<,nan,nan
3,149.1115530743542,51.34961554,12.882310518563273,<,nan,nan
3,149.1115530743542,51.34961554,12.23920097792723,<,nan,nan
3,152.6786228837301,51.34961554,12.825773416089774,<,nan,nan
3,152.6786228837301,51.34961554,11.984784016796487,<,nan,nan
3,153.4022120570889,51.34961554,12.571356454959032,<,nan,nan
3,154.85969456592386,51.34961554,11.765702744711682,<,nan,nan
3,155.5936204833908,51.34961554,12.260402391354791,<,nan,nan
3,155.5936204833908,51.34961554,12.571356454959032,<,nan,nan
3,157.81633400514403,51.34961554,12.401745147538538,<,nan,nan
3,160.82942271477023,51.34961554,11.82223984718518,<,nan,nan
3,161.59164094045184,51.34961554,12.23920097792723,<,nan,nan
3,163.90003844547022,51.34961554,12.168529599835358,<,nan,nan
3,164.67680922773306,51.34961554,13.037787550365392,<,nan,nan
3,164.67680922773306,51.34961554,12.52188649029472,<,nan,nan
3,171.0249799784543,51.34961554,12.924713345418397,<,nan,nan
3,171.0249799784543,51.34961554,12.677363522096842,<,nan,nan
3,171.0249799784543,51.34961554,12.52188649029472,<,nan,nan
3,171.0249799784543,51.34961554,12.16146246202617,<,nan,nan
3,172.64989733492428,51.34961554,12.50068507686716,<,nan,nan
3,172.64989733492428,51.34961554,12.34520804506504,<,nan,nan
3,172.64989733492428,51.34961554,11.801038433757618,<,nan,nan
3,174.29025311691368,51.34961554,12.536020765913095,<,nan,nan
3,175.94619400571773,51.34961554,12.931780483227584,<,nan,nan
3,178.45965171241897,51.34961554,11.490084370153378,<,nan,nan
3,182.7287913108621,51.34961554,12.536020765913095,<,nan,nan
3,185.33914097686034,51.34961554,12.062522532697548,<,nan,nan
3,187.1000579320588,51.34961554,12.571356454959032,<,nan,nan
3,187.98678047184444,51.34961554,nan,<,nan,nan
3,189.7728527895497,51.34961554,12.818706278280587,<,nan,nan
3,189.7728527895497,51.34961554,12.585490730577407,<,nan,nan
3,190.67224249507825,51.34961554,12.408812285347725,<,nan,nan
3,190.67224249507825,51.34961554,12.493617939057973,<,nan,nan
3,191.5758946745621,51.34961554,12.430013698775287,<,nan,nan
3,193.3960673556358,51.34961554,12.719766348951964,<,nan,nan
3,193.3960673556358,51.34961554,12.352275182874227,<,nan,nan
3,194.3126285471477,51.34961554,12.486550801248786,<,nan,nan
3,195.23353359336787,51.34961554,12.097858221743484,<,nan,nan
3,198.0225182167057,51.34961554,12.705632073333591,<,nan,nan
3,202.759643756235,51.34961554,12.408812285347725,<,nan,nan
3,203.7205817071084,51.34961554,12.479483663439598,<,nan,nan
3,203.7205817071084,51.34961554,12.104925359552672,<,nan,nan
3,206.63080701206013,51.34961554,12.062522532697548,<,nan,nan
3,207.61009155112848,51.34961554,12.458282250012036,<,nan,nan
3,208.59401720941023,51.34961554,12.486550801248786,<,nan,nan
3,208.59401720941023,51.34961554,12.465349387821224,<,nan,nan
3,209.58260598254245,51.34961554,12.910579069800022,<,nan,nan
3,209.58260598254245,51.34961554,12.634960695241718,<,nan,nan
3,210.57587997040633,51.34961554,13.154395324216983,<,nan,nan
3,210.57587997040633,51.34961554,12.606692144004969,<,nan,nan
3,211.5738613776207,51.34961554,12.726833486761153,<,nan,nan
3,212.07462433118926,51.34961554,13.119059635171046,<,nan,nan
3,212.57657251403919,51.34961554,12.444147974393662,<,nan,nan
3,213.58403579524773,51.34961554,12.479483663439598,<,nan,nan
3,215.61330898605485,51.34961554,13.00598543022405,<,nan,nan
3,215.61330898605485,51.34961554,12.634960695241718,<,nan,nan
3,218.69342638331293,51.34961554,12.613759281814156,<,nan,nan
3,219.72987924506168,51.34961554,12.528953628103908,<,nan,nan
3,221.8175444186833,51.34961554,12.465349387821224,<,nan,nan
3,222.868803400267,51.34961554,12.16146246202617,<,nan,nan
3,223.92504460924536,51.34961554,11.899978363086241,<,nan,nan
3,224.9862916578678,51.34961554,12.903511931990835,<,nan,nan
3,226.05256827029018,51.34961554,12.11199249736186,<,nan,nan
3,227.12389828310316,51.34961554,12.196798151072107,<,nan,nan
3,228.20030564586702,51.34961554,12.896444794181647,<,nan,nan
3,230.36844878754397,51.34961554,12.974183310082708,<,nan,nan
3,230.36844878754397,51.34961554,12.790437727043837,<,nan,nan
3,233.6593489190185,51.34961554,12.55015504153147,<,nan,nan
3,234.76672971626726,51.34961554,11.892911225277054,<,nan,nan
